symbol,date,open,high,low,close,volume
AUBANK,2022-12-06,650.0,653.85,647.0,649.1,1401494
AUBANK,2022-12-07,648.85,675.6,648.75,671.65,3280365
AUBANK,2022-12-08,676.45,679.55,670.0,672.95,2015490
AUBANK,2022-12-09,673.45,694.7,673.1,682.15,2788592
AUBANK,2022-12-12,687.0,689.9,670.85,677.35,1289020
AUBANK,2022-12-13,679.45,679.45,662.0,664.05,1426088
AUBANK,2022-12-14,667.0,674.5,665.0,672.15,790701
AUBANK,2022-12-15,672.15,676.0,664.1,669.0,869684
AUBANK,2022-12-16,660.0,676.0,660.0,667.05,1692206
AUBANK,2022-12-19,669.85,679.15,664.9,670.6,867270
AUBANK,2022-12-20,667.25,684.4,667.25,676.4,1910526
AUBANK,2022-12-21,681.95,682.0,663.8,670.1,1296136
AUBANK,2022-12-22,671.0,675.8,661.6,671.5,1375529
AUBANK,2022-12-23,661.5,670.0,642.0,644.3,2087464
AUBANK,2022-12-26,641.0,663.1,637.7,655.05,705455
AUBANK,2022-12-27,660.0,665.4,653.0,663.35,896071
AUBANK,2022-12-28,662.95,667.2,657.9,663.2,391805
AUBANK,2022-12-29,662.8,670.0,656.15,665.4,2650477
AUBANK,2022-12-30,665.4,672.0,649.1,654.45,1010912
AUBANK,2023-01-02,656.9,661.25,654.0,657.0,1586054
AUBANK,2023-01-03,658.95,663.9,650.0,651.05,1288812
AUBANK,2023-01-04,652.0,655.45,639.0,641.6,1242852
AUBANK,2023-01-05,641.8,644.7,624.15,636.1,1987570
AUBANK,2023-01-06,635.0,639.35,619.45,625.8,1634322
AUBANK,2023-01-09,635.0,635.7,627.0,633.2,1012950
AUBANK,2023-01-10,632.9,632.9,617.75,625.2,1056504
AUBANK,2023-01-11,625.05,626.95,615.05,622.05,1159019
AUBANK,2023-01-12,625.0,631.9,620.4,628.15,923943
AUBANK,2023-01-13,631.45,631.5,616.3,619.75,1393324
AUBANK,2023-01-16,623.65,629.75,618.2,624.0,578028
